"","p1","o1","mz"
"72.99403",-0.00632489467996677,0.00160110725404847,"72.99403"
"73.02984",0.0298741332204498,0.00521765595381054,"73.02984"
"74.02522",0.00367164865428026,0.00237205492738065,"74.02522"
"75.00922",-0.00748333127373791,-0.00421325798097245,"75.00922"
"80.02805",0.00148685045344885,-0.000231979095430448,"80.02805"
"83.01472",-0.0036846369279792,0.000137139066353664,"83.01472"
"83.05012",0.00611016137870839,0.0021976383944558,"83.05012"
"88.04100",-0.01345993056757,0.00724824520999087,"88.04100"
"89.02566",-0.198723015805279,0.00546299553997813,"89.02566"
"91.02995",-0.0166375055927304,-0.00164545386141692,"91.02995"
"91.05633",0.0187742662839304,0.00209813397762674,"91.05633"
"92.02657",-0.0116317886769996,0.00375681348052246,"92.02657"
"93.03657",-0.00353030265696087,0.00105478489260609,"93.03657"
"96.97024",-0.0314789148300305,0.0301900654956057,"96.97024"
"99.00965",-0.0104659646453785,-0.00346563529237551,"99.00965"
"99.04699",0.0041813687742086,0.0045341890161766,"99.04699"
"101.02600",-0.0176887659960455,0.0122790377442251,"101.02600"
"101.07306",-0.00289361496889881,0.00309038753583717,"101.07306"
"102.05657",-0.0295517691945976,0.00896497097969421,"102.05657"
"102.95803",-0.00352280206488081,0.000127778939799845,"102.95803"
"103.04137",-0.0146616325572278,0.00267069161342504,"103.04137"
"104.03596",-0.0143757607189378,0.00348128824092953,"104.03596"
"106.98098",0.0057862670571634,0.00275672117103901,"106.98098"
"108.02186",-0.0136949959604025,0.00896065126685181,"108.02186"
"109.04122",-0.0155463330627425,0.0023015561407046,"109.04122"
"109.06645",-0.00115493197306508,0.00413632368018605,"109.06645"
"110.02515",-0.0132552287491423,0.00235511342651843,"110.02515"
"111.01014",-0.00968524453174845,0.00308463442889892,"111.01014"
"111.02114",-0.022834430036002,0.00118992863830456,"111.02114"
"113.02579",-0.0226686710644537,0.00882002387963341,"113.02579"
"114.05695",0.00346192001074748,0.00254110378858229,"114.05695"
"114.93623",0.00206600721492925,-0.000838203316852486,"114.93623"
"115.00463",-0.0614360190549085,0.0296453738372476,"115.00463"
"115.02309",0.00737233835914643,0.00249945338812368,"115.02309"
"116.03913",0.0132806218120182,-0.000216953578998496,"116.03913"
"117.02102",0.0525671003752206,0.0193278077022751,"117.02102"
"118.05262",-0.0442322127781567,0.00315520896007518,"118.05262"
"118.99409",0.0136024902148979,0.00271034331699681,"118.99409"
"119.08730",0.00437324514673969,0.0030265732229367,"119.08730"
"120.03949",-0.00690735807141278,0.00386688197315824,"120.03949"
"124.99195",-0.00135110627562939,-0.000948068759400556,"124.99195"
"125.01257",0.0195476903884067,0.00609238651162169,"125.01257"
"125.02454",-0.000183563554412311,0.00308488906820206,"125.02454"
"125.06273",-0.00122510706986893,0.00291868418681167,"125.06273"
"126.00528",0.0159689763387056,0.0049898390048994,"126.00528"
"127.07791",0.00250414319713237,0.00362723074116582,"127.07791"
"128.05521",-0.00637789465449247,0.00258581516134422,"128.05521"
"129.02087",-0.015054292701418,0.00452779659159266,"129.02087"
"129.03895",-0.015843378610928,-0.000389402312365927,"129.03895"
"131.03697",-0.0050022925196542,0.00393672649685576,"131.03697"
"131.04880",-0.00572635512898417,0.00299802068783882,"131.04880"
"131.08016",-0.00213995151580472,0.00138418920965676,"131.08016"
"131.09087",-0.00168269533742564,0.00152662715531041,"131.09087"
"132.03203",-0.0391578028865501,0.00788177834721665,"132.03203"
"133.03365",-3.40167206535189e-05,0.00161368769778866,"133.03365"
"134.04797",-0.0559232477210743,0.00395423603406776,"134.04797"
"135.04614",0.0200021697138607,0.00230188764511642,"135.04614"
"137.05588",0.0082684904851646,0.00119261816794672,"137.05588"
"137.09814",-0.000990856157946639,-0.000296695677939409,"137.09814"
"138.02092",0.0269945476939739,0.026437803841102,"138.02092"
"139.00271",0.00963935110479561,0.000607479529406425,"139.00271"
"139.02517",0.0151632543111651,0.000837381687018701,"139.02517"
"139.07679",0.000121906699708526,0.00141802299181397,"139.07679"
"139.11418",0.00574367423402441,0.000998784025895169,"139.11418"
"139.98342",0.00896210994142791,0.000659453955563839,"139.98342"
"143.00061",-0.0480523224862535,-0.00798769831305798,"143.00061"
"143.03784",-0.018019417381042,0.00619020690407787,"143.03784"
"144.00321",-0.0087243915910938,-0.00196214539868575,"144.00321"
"144.04285",0.00463474923116531,-0.00204677074916735,"144.04285"
"144.06447",-0.0105354033350788,5.12710690361202e-05,"144.06447"
"145.04005",-0.00885607059780896,0.00117332514802949,"145.04005"
"145.06363",-0.123537265525623,0.0338978046102088,"145.06363"
"145.08923",0.00168477764660181,0.00395787153615619,"145.08923"
"145.10226",-0.00934004928826678,0.00152573826495423,"145.10226"
"146.00119",0.000194420257389461,0.000911634552694393,"146.00119"
"146.02619",-0.00409975548442888,0.00180799384820763,"146.02619"
"146.04740",-0.0608943635430604,0.0260229735060156,"146.04740"
"146.98536",-0.0283769508132572,-0.0111226665936432,"146.98536"
"147.03169",0.00108390478489274,-0.00186154873781066,"147.03169"
"147.07125",-0.0117340877354006,0.00153983167992211,"147.07125"
"148.04385",-0.0162544313708753,0.00305184660922631,"148.04385"
"149.04690",-0.0146205901570999,0.00523375871091957,"149.04690"
"150.01937",-0.00505788027080134,-0.000934000371821407,"150.01937"
"151.02795",-0.15264780592358,0.0560698046072318,"151.02795"
"151.11315",-0.00248184355026125,0.00105550949342873,"151.11315"
"152.99766",-0.00693309191962558,0.00320648874249747,"152.99766"
"153.03067",-0.00552114463931233,0.000842855450953347,"153.03067"
"153.09256",0.00413972615530989,0.00519140114061978,"153.09256"
"154.01558",0.000512239534537726,-0.0024285865888832,"154.01558"
"154.06454",-0.0383228761389683,0.0152471964407261,"154.06454"
"154.92916",-0.0224490927447783,0.00245494192185976,"154.92916"
"154.97805",0.00340049941202037,0.00677684060929017,"154.97805"
"156.92640",-0.00533792734522471,-0.00279654813802596,"156.92640"
"156.99307",0.0042588304450347,0.00381981793243714,"156.99307"
"157.03681",-0.0126561344654793,0.000751598024434102,"157.03681"
"159.03253",-0.00151435625236528,0.000427441283980326,"159.03253"
"159.04885",0.00952992786585725,0.000341671279405755,"159.04885"
"159.06803",0.00188737986260472,0.00230787545044235,"159.06803"
"159.07943",-0.0114000805334455,0.00197536513463748,"159.07943"
"160.01034",0.000581931610830163,0.00208318182316332,"160.01034"
"160.06407",-0.0016396060733236,0.000377761303824203,"160.06407"
"160.96150",-0.00844323246608446,-0.00101272945972706,"160.96150"
"161.99656",-0.00244618692231866,-0.00071763875297978,"161.99656"
"162.02847",-0.00694385973831999,0.0027429747968879,"162.02847"
"162.05153",-0.0056881477166889,0.00170984249491877,"162.05153"
"162.98450",-0.00512125072500486,7.33151215026131e-05,"162.98450"
"163.03893",-0.00148916051695718,-0.000210743927679487,"163.03893"
"163.11403",0.00220635985447854,0.00182966071510147,"163.11403"
"164.95737",-0.0176978509280065,0.00279516012041564,"164.95737"
"165.01573",0.00673147960432275,0.00161835013916526,"165.01573"
"165.07313",0.00322661426334708,-0.000998027321295962,"165.07313"
"166.02014",0.0206317150612966,-0.00216853153024407,"166.02014"
"166.04904",-0.00192413995031447,0.00332489517526244,"166.04904"
"167.02308",0.0791817269832602,0.0215615930351959,"167.02308"
"167.11065",5.33157246574821e-05,0.00499092045022353,"167.11065"
"167.99560",0.0170817103354425,-0.00292785948889559,"167.99560"
"168.04541",0.00396064874635372,0.00107163535182221,"168.04541"
"168.99251",-0.0243223018823527,0.00360186528899308,"168.99251"
"169.99249",0.00637321592574163,0.00113279092163603,"169.99249"
"170.04493",-0.000290974004766355,-0.000249708220946164,"170.04493"
"171.00839",0.0396945873164934,0.0224958210599715,"171.00839"
"171.06670",-0.000214086862249868,-7.50135094370083e-05,"171.06670"
"171.10452",0.051321042884592,0.0216718965685248,"171.10452"
"172.00573",-0.000982264315325915,0.00458320055258386,"172.00573"
"172.10645",0.0141864591719777,0.00271653349307723,"172.10645"
"172.90100",-0.0155849120925354,0.00345926165076674,"172.90100"
"173.09168",0.00453627514344282,0.00129009147038512,"173.09168"
"173.11980",0.0159834513193476,0.00461853598088502,"173.11980"
"174.02226",0.00652302571055998,0.00349448754219237,"174.02226"
"175.02712",-0.0741683131559811,0.0505556301826575,"175.02712"
"175.07321",-0.0162828936715024,0.000445136859330833,"175.07321"
"176.93848",0.000158641739894814,0.00137934557749845,"176.93848"
"177.03904",-0.0248536818467675,0.0103796185287497,"177.03904"
"178.01910",-0.00190048267196373,0.00266505014645881,"178.01910"
"178.97482",0.00398336949531461,0.00574272704462009,"178.97482"
"179.01102",0.00286972342465224,0.00227913021415054,"179.01102"
"179.05761",-0.0652537985379374,0.162698122173561,"179.05761"
"179.10810",0.00203264762810186,0.00370577995911738,"179.10810"
"180.04065",0.000383165242692757,0.00339244356768549,"180.04065"
"181.12550",0.00303730833995792,0.00433866147733807,"181.12550"
"181.96855",-0.0034310334378975,0.000510438807078896,"181.96855"
"182.05780",-0.00319483318967137,0.00399656400660276,"182.05780"
"183.00374",0.00566706570489444,0.000708332502833636,"183.00374"
"184.00390",-0.00340168978669174,0.00373854678354036,"184.00390"
"185.04663",0.00257693724336651,0.000818666078947506,"185.04663"
"185.08414",0.00502484409567995,0.000850957058836859,"185.08414"
"186.04712",0.011672907154206,-0.00970564658449562,"186.04712"
"187.04491",0.0405166606508318,-0.0403823823697591,"187.04491"
"187.07490",0.00214072616747204,-0.000309617580997486,"187.07490"
"188.06290",0.12420244971323,0.00164466615402415,"188.06290"
"188.09403",-0.014025214123328,0.00223441679141316,"188.09403"
"188.98628",-0.0186583171913416,0.00267602490275655,"188.98628"
"189.05924",0.360586461332903,-0.00346361270480631,"189.05924"
"189.08779",-0.00941454009472104,0.00177414905116236,"189.08779"
"189.16521",0.00433777476739525,0.00325912371887949,"189.16521"
"190.97001",0.00646335829408611,0.00158466625217036,"190.97001"
"191.02320",-0.0181527622414765,-0.00243873725656867,"191.02320"
"191.10910",0.0106072055511721,0.000860720109031407,"191.10910"
"191.18214",-0.0055331181345068,0.00847833427847467,"191.18214"
"192.99510",-0.00558055272483611,-0.000215791815921783,"192.99510"
"193.03335",-0.00404151553964035,0.00139344624969829,"193.03335"
"193.08481",-0.00174695233436475,0.00322576672409818,"193.08481"
"193.98523",-0.000197057555232774,0.00368512610043978,"193.98523"
"194.08596",0.00252288135280533,0.00196737165368908,"194.08596"
"194.94913",-0.00364520426609096,0.00387983595635253,"194.94913"
"195.05412",-0.00304294561673997,0.0142883928506155,"195.05412"
"195.10337",0.00437458440198737,0.0033920810440786,"195.10337"
"195.14216",-0.00140331404482121,0.0105718722989605,"195.14216"
"196.98675",0.0053196764569509,0.000650418869763715,"196.98675"
"197.08399",0.00348436113724567,0.00124577313681367,"197.08399"
"197.12092",0.0469640358386705,0.0254778835048723,"197.12092"
"198.07822",-0.00104859112436834,0.00435095043963728,"198.07822"
"198.12460",0.0108492549649552,0.0120821747187607,"198.12460"
"199.00374",0.00140549943671788,0.000850199360460919,"199.00374"
"199.10091",0.00569265890510262,0.0126112608813027,"199.10091"
"199.13653",0.0424155675547325,0.0211188935540769,"199.13653"
"199.93996",-0.00855929177905436,0.000531208204502995,"199.93996"
"200.01496",0.00539442480971925,0.00425723730302799,"200.01496"
"200.05869",-0.030883621750299,0.00473856041244152,"200.05869"
"200.13781",0.0172396299883235,0.00399958981123773,"200.13781"
"201.03967",-0.034162681671188,-0.0092856266966489,"201.03967"
"201.08676",0.00113802725079972,0.00127210233812438,"201.08676"
"201.11561",0.0183049559122909,0.00207935559963698,"201.11561"
"202.01099",-0.00236246721695117,0.000952818825811229,"202.01099"
"202.11139",-0.00803203902882272,0.00494191562570603,"202.11139"
"203.02464",-0.0352867084491871,0.000954532934009409,"203.02464"
"203.07957",0.00804371888970313,0.00267652757072556,"203.07957"
"203.09934",-0.00832365657178682,0.00276110424881233,"203.09934"
"203.18375",0.000663282159875676,0.0041538223835237,"203.18375"
"205.01998",-0.0113256156774691,0.000989515110261132,"205.01998"
"205.05342",-0.0033757119967641,0.00210582236382439,"205.05342"
"205.16185",0.00450213233349223,-0.000328758077514259,"205.16185"
"205.19811",-0.000748948443234887,0.00718894208497734,"205.19811"
"206.94932",-0.00138732763062088,0.00321768306891942,"206.94932"
"207.01435",-0.00157271702231092,-0.000886304225854678,"207.01435"
"208.00133",-0.00532823220442414,0.00299459372974434,"208.00133"
"208.07453",-0.00333086767248141,-0.000605825812976591,"208.07453"
"208.98384",-0.0147195680755724,-0.00205652697092334,"208.98384"
"209.06805",-0.0147578771156475,0.00357667231609309,"209.06805"
"209.12245",0.0158911537293182,0.0129121051236012,"209.12245"
"210.05239",0.00547526742128714,0.00247812479247511,"210.05239"
"210.08615",-0.00309682506391616,0.00486136921729074,"210.08615"
"211.00094",-0.0147322457493876,0.00221619506671665,"211.00094"
"211.08403",0.00624377756110498,0.00798976257632783,"211.08403"
"211.17281",0.00662998962428919,-0.00103201142179078,"211.17281"
"212.02654",-0.00257876275650768,0.000329313011811934,"212.02654"
"212.09007",0.00202223335988738,-0.000812977668176712,"212.09007"
"212.93761",-0.00477994176769415,6.33853037237339e-05,"212.93761"
"212.98268",-0.0109387490385801,-0.00146252593758257,"212.98268"
"213.01781",-0.00109605010689577,0.00267804305262414,"213.01781"
"213.05173",-0.000860934930649956,0.00233847071740403,"213.05173"
"213.11439",0.00874812974873401,0.00718552918524652,"213.11439"
"213.15315",0.000451341368958784,0.00469577676999436,"213.15315"
"214.05205",-0.0865400136514286,0.0171977772900662,"214.05205"
"215.09873",-0.00131922321259908,0.00174120183812588,"215.09873"
"215.13279",0.00598917420115512,0.00774682275396043,"215.13279"
"216.93054",0.00419441110440335,0.00714645540284378,"216.93054"
"217.08498",-0.00847860368669621,0.000139647023458839,"217.08498"
"217.11947",-0.00664618301500418,0.00483103474581205,"217.11947"
"217.14460",0.0039114704405817,1.40482482919877e-05,"217.14460"
"218.10617",-0.0238172567783899,0.00970345146962251,"218.10617"
"218.99676",-0.022745460093549,0.00230112007497995,"218.99676"
"219.03732",-0.0161363102043506,0.00200893038466218,"219.03732"
"219.07644",0.00872192514246093,0.00401760719560763,"219.07644"
"219.13852",0.000773557116078369,0.00216061683700506,"219.13852"
"220.99510",-0.0047671942006589,0.000728361273468145,"220.99510"
"221.08487",0.0741590639718149,0.0122518682109491,"221.08487"
"221.12306",-0.00268006844666278,0.0113154569848684,"221.12306"
"221.15622",0.00673803143901774,0.00358797381000411,"221.15622"
"223.09979",0.00169399950526232,0.00194613819157715,"223.09979"
"223.13642",0.00387050007172854,0.00852663413047771,"223.13642"
"223.17381",-0.00518368797103948,0.00629212841923615,"223.17381"
"223.97658",-0.00340583691587367,0.000361939865981932,"223.97658"
"224.03126",0.00100245395364533,0.00151558723263628,"224.03126"
"224.07388",-0.00335112299678576,0.000140626157024255,"224.07388"
"224.96033",-0.00337477274741085,0.00456955093378208,"224.96033"
"225.05819",-0.00134830953184595,0.000499468976264776,"225.05819"
"225.15257",0.00414155624455724,0.00331222837164114,"225.15257"
"225.98849",-0.00413897003397677,0.00186160694388252,"225.98849"
"226.99772",-0.0027493974107292,-0.00474960816679558,"226.99772"
"227.06753",-0.000788248922958353,0.00194177499983523,"227.06753"
"227.10151",0.00781599958139881,0.00207358634324791,"227.10151"
"227.13139",0.0110012951920068,0.00447599121700555,"227.13139"
"227.16572",0.00401031090427298,0.00544479166271053,"227.16572"
"227.20451",0.0643069309865746,0.0493917910396534,"227.20451"
"227.99952",-0.0121766722820573,0.000104859884559171,"227.99952"
"228.06120",-0.00475065523840193,-0.0010682613046524,"228.06120"
"228.90860",-0.00582141368833141,0.000809046124402074,"228.90860"
"228.96577",-0.0107120369873857,0.000144688436280402,"228.96577"
