"","PC1","PC2","var"
"72.99403",0.0142181802330699,-0.00165441408136703,"72.99403"
"73.02984",0.0170584202106547,-0.0542222089513968,"73.02984"
"74.02522",0.0165794055151788,-0.0339616353406455,"74.02522"
"75.00922",-0.000992476046738827,-0.0527649962291067,"75.00922"
"80.02805",-3.86910033217079e-05,-0.00814830192233634,"80.02805"
"83.01472",0.00766219284773376,-0.0224666674296719,"83.01472"
"83.05012",0.010958432906834,0.00376954234786409,"83.05012"
"88.04100",0.0234675720524931,-0.0454142594747829,"88.04100"
"89.02566",0.0481793709346479,-0.114011524301138,"89.02566"
"91.02995",0.00515331811244983,-0.0306828619048123,"91.02995"
"91.05633",0.00760415900540503,-0.0045405448448031,"91.05633"
"92.02657",0.020223983541142,-0.0347507843278989,"92.02657"
"93.03657",0.002723310412865,-0.0182275382727426,"93.03657"
"96.97024",0.0400609609740581,-0.13796092111818,"96.97024"
"99.00965",-0.000626415530332805,-0.03842197182244,"99.00965"
"99.04699",0.026213545206179,-0.00906713356887869,"99.04699"
"101.02600",0.0301752233575068,-0.0521203205049022,"101.02600"
"101.07306",0.0181172758769251,-0.0237608846066102,"101.07306"
"102.05657",0.0248929818720366,-0.0995049354517868,"102.05657"
"102.95803",0.00705979854029534,-0.00327022611981897,"102.95803"
"103.04137",0.0277773975699503,-0.0255110955890442,"103.04137"
"104.03596",0.016201781798365,-0.0545408988186836,"104.03596"
"106.98098",0.0154892647512827,-0.0169473906906906,"106.98098"
"108.02186",0.0286147730521162,-0.0282169834716598,"108.02186"
"109.04122",0.0195930440986175,-0.0606403958511115,"109.04122"
"109.06645",0.0218456197597419,-0.000719122663049421,"109.06645"
"110.02515",0.0110534178466864,-0.0202910790782717,"110.02515"
"111.01014",0.0173452378768063,-0.0158532318711131,"111.01014"
"111.02114",0.00797678292223788,-0.0193756985176713,"111.02114"
"113.02579",0.0205733759844214,-0.0687617035980905,"113.02579"
"114.05695",0.00457270139955355,-0.0167934418876734,"114.05695"
"114.93623",0.00333065868016297,0.000144764414094864,"114.93623"
"115.00463",0.0543042390243779,-0.117706950244252,"115.00463"
"115.02309",0.0168481380254937,-0.017759494475192,"115.02309"
"116.03913",-0.00256654218109415,-0.0194918950532657,"116.03913"
"117.02102",0.0368218256640204,-0.0939736026518221,"117.02102"
"118.05262",0.0188094418406796,-0.0749099083376165,"118.05262"
"118.99409",0.0155885272279849,-0.0242453119435471,"118.99409"
"119.08730",0.0102756374039393,-0.0150984143438296,"119.08730"
"120.03949",0.0194150263220451,-0.00754769171155113,"120.03949"
"124.99195",0.00389123957239262,-0.0258882605102276,"124.99195"
"125.01257",0.0223373609515602,-0.027598801692591,"125.01257"
"125.02454",0.0165676310629835,-0.0154216645574965,"125.02454"
"125.06273",0.0136321950196729,0.00185793886043797,"125.06273"
"126.00528",0.0161466289085316,-0.0399815946214805,"126.00528"
"127.07791",0.0154734230617874,-0.0123255956473513,"127.07791"
"128.05521",0.0140689337866964,-0.0249375326406973,"128.05521"
"129.02087",0.025976436424257,-0.0499414459073953,"129.02087"
"129.03895",0.00142568157311279,-0.0319915137005714,"129.03895"
"131.03697",0.0213942200219107,-0.0387404207867331,"131.03697"
"131.04880",0.0112487306475281,-0.0330370757975164,"131.04880"
"131.08016",0.00664672326515,-0.00636160788061022,"131.08016"
"131.09087",0.00966710948704473,-0.00977857347398589,"131.09087"
"132.03203",0.0182853599787606,-0.0866685869273938,"132.03203"
"133.03365",0.0138682718275269,-0.0277939441514928,"133.03365"
"134.04797",0.0292893878725835,-0.024369317223208,"134.04797"
"135.04614",0.00644196361936232,-0.0271490403223374,"135.04614"
